pair_id,w1,w2
82,కరుణ,గుర్రము
83,నిర్ణయం,రైలు
84,కరుణ,గుంటూరు
85,శాంతి,సహనశీలత
86,ఏనుగు,గుర్రము
87,సూర్యుడు,నీరు
88,నివేదిక,పక్షి
89,వాహనము,సమీక్ష
90,అన్నము,పాఠశాల
91,పక్షి,ప్రవర్తన
92,నిర్ణయం,సత్యము
93,కొండలు,న్యాయము
94,చెట్టు,తమ్ముడు
95,గుర్రము,పులిహోర
96,జ్వరము,ప్రదర్శన
97,తమ్ముడు,చెల్లెలు
98,స్నేహము,విశ్వాసము
99,ప్రభుత్వము,పరిపాలనము
100,వైద్యుడు,ఉపాధ్యాయుడు
101,చేప,ప్రమాణం
102,స్నేహము,కరుణ
103,అక్క,పులిహోర
104,గాలి,వ్యాయామం
105,నాన్న,ప్రసంగం
106,నాటకము,వ్యంజనం
107,భోజనము,వంటిల్లు
108,రాజధాని,స్నేహము
109,శాంతి,సమానత్వము
110,ఆరోగ్యము,చెవులు
111,గుంటూరు,పటమాపకం
112,వైద్యుడు,సంతోషము
113,చలనచిత్రము,నాటకము
114,నాణ్యత,న్యాయవిద్య
115,విద్యుత్తు,యంత్రము
116,న్యాయము,విద్యార్థి
117,కంప్యూటరు,మిత్రుడు
118,కంప్యూటరు,ఇంటర్నెట్
119,మాధ్యమికవిద్య,ఉన్నతవిద్య
120,పర్యావరణశాస్త్రము,పర్యావరణము
121,పర్యావరణశాస్త్రము,భాషాశాస్త్రము
122,చేప,ప్రవర్తన
123,పండు,విశ్వాసం
124,మందు,శాస్త్రం
125,ఆరంభం,చెల్లెలు
126,గణితం,సూర్యుడు
127,రైలు,హైదరాబాద్
128,అక్క,సమానత్వము
129,కాయలు,హైదరాబాద్
130,ఆరోగ్యము,వివేకం
131,నాటకము,బిర్యానీ
132,పాలన,ప్రశంసనీయం
133,నిర్మించడం,భూమి
134,ఆరోగ్యసేవ,ఏనుగు
135,పులిహోర,బిర్యానీ
136,అన్నము,కంప్యూటర్
137,కాయలు,ధర్మాచరణము
138,నియమం,న్యాయవిద్య
139,పర్యావరణం,వరంగల్
140,పద్ధతి,విశ్వాసము
141,వ్యాధి,హైదరాబాద్
142,వైద్యుడు,ఆసుపత్రి
143,ద్వేషం,విద్యాలయము
144,రేఖాచిత్రం,వైద్యం
145,ఉత్పత్తి,విశ్వాసం
146,విజయవాడ,విశాఖపట్నం
147,విద్యార్థి,వేదికసభ
148,ఆలోచించడం,సూర్యుడు
149,పరిశోధనము,సూర్యుడు
150,ఆరోగ్యసేవ,పరిపాలనము
151,జీవశాస్త్రం,వ్యాపారం
152,జ్వరము,సమాజశాస్త్రము
153,విద్యాలయము,హైదరాబాద్
154,గుర్రము,జీవశాస్త్రము
155,న్యాయస్థానము,విమానము
156,విద్యార్థులు,ఉపాధ్యాయుడు
157,ఇంటర్నెట్,దేశం
158,అమ్మ,సాంకేతికత
159,నైతికత,విశ్వాసము
160,అభివృద్ధి,స్నేహం
161,కుక్క,చలనచిత్రము
162,ప్రశంసనీయం,విద్య
163,మహోన్నతమైన,శాంతి
164,ఆరోగ్యసేవ,సంకేతం
165,అక్క,మహోత్కృష్టం
166,ఇంటర్నెట్,నివేదిక
167,వృత్తివిద్య,సమస్య
168,రాజ్యాంగము,స్వేచ్ఛ
169,జీవశాస్త్రం,ద్వేషం
170,వాక్యం,వృత్తివిద్య
171,ఐకమత్యం,న్యాయవిద్య
172,వైద్యవిద్య,స్నేహము
173,విజయవాడ,సృజనాత్మకత
174,ప్రాథమికవిద్య,ప్రేమ
175,చరిత్ర,జీవశాస్త్రము
176,గౌరవించడం,ధర్మాచరణము
177,ఆకారము,భాషాశాస్త్రము
178,గణితశాస్త్రము,పరిపాలనము
179,వైద్యశాస్త్రము,సమానత్వము
180,భౌతికశాస్త్రము,కార్యక్రమము
181,న్యాయస్థానము,సర్వోన్నతన్యాయస్థానము
182,పటం,విద్యుత్తు
183,పని,సత్యసంధుడు
184,చేప,స్వతంత్రము
185,కవిత,రాజ్యాంగము
186,కోపం,విద్యార్థి
187,అన్న,వ్యక్తిత్వం
188,ఆకారము,ఉన్నతవిద్య
189,పరీక్ష,సత్యసంధుడు
190,కళ్ళు,సంఘటనాత్మకత
191,అన్వేషించడం,నాన్న
192,న్యాయవిద్య,పుస్తకం
193,అనుభవం,జీవశాస్త్రం
194,జీవశాస్త్రము,అడవులు
195,ఆసుపత్రి,విద్యాలయము
196,ఆసుపత్రి,వైద్యవిద్య
197,ఆదాయం,రసాయనశాస్త్రం
198,జ్ఞానం,విద్యార్థులు
199,ఆరోగ్యం,విశ్వంభరుడు
200,ఖగోళశాస్త్రము,ఆకాశము
201,ఇంటర్నెట్,గ్రంథాలయము
202,వ్యక్తిత్వం,సూర్యుడు
203,మాధ్యమికవిద్య,మార్పు
204,జీవశాస్త్రము,హక్కులు
205,ఆదాయం,విశ్వవిద్యాలయం
206,కళాశాల,భాషాశాస్త్రము
207,కంప్యూటరు,వ్యవస్థాపన
208,మాధ్యమికవిద్య,వ్యాధి
209,న్యాయస్థానము,హక్కులు
210,విశ్వాసం,సాంస్కృతికత
211,దూరదర్శిని,విద్యాలయము
212,జీవశాస్త్రము,వ్యవహారం
213,నీటిపారుదల,వృత్తివిద్య
214,ఆశ్చర్యం,రసాయనశాస్త్రం
215,ఖగోళశాస్త్రము,గమనార్హం
216,విశ్వాసం,వైద్యశాస్త్రము
217,న్యాయస్థానము,ప్రయాణించడం
218,గణితశాస్త్రము,సత్యసంధుడు
219,అంతర్జాతీయము,విద్యార్థులు
220,రాజమహేంద్రవరం,రాజ్యాధికారము
221,అంతర్జాతీయము,రసాయనశాస్త్రము
222,విశ్వవిద్యాలయము,స్వాతంత్ర్యము
223,న్యాయస్థానము,పర్యావరణశాస్త్రము
224,మనస్తత్వశాస్త్రము,స్వాతంత్ర్యము
225,పులి,మహోత్కృష్టం
226,రైలు,వ్యక్తిత్వం
227,పాలన,విమర్శించడం
228,గాలి,సాంకేతికవిద్య
229,ఆత్మ,సాంకేతికవిద్య
230,పండుగ,ప్రయోజనకరమైన
231,అక్క,శస్త్రచికిత్స
232,జీవశాస్త్రం,ముగింపు
233,పప్పు,సమాజశాస్త్రము
234,ఖగోళశాస్త్రము,సమస్య
235,ఫలితం,రసాయనశాస్త్రం
236,నైతికత,ప్రాథమికవిద్య
237,పచ్చడి,ప్రాథమికవిద్య
238,నైతికత,రసాయనశాస్త్రం
239,గణితశాస్త్రము,శిక్షణ
240,కంప్యూటరు,పరిశీలించడం
241,జ్ఞానం,విశ్వవిద్యాలయం
242,అర్థశాస్త్రము,ప్రకృతి
243,ముగింపు,సమాజశాస్త్రము
244,గణితశాస్త్రము,ప్రవర్తన
245,ధర్మాచరణము,మహోత్కృష్టం
246,ప్రజాస్వామ్యము,వివేకము
247,భాషాశాస్త్రము,సాంకేతికత
248,వృత్తివిద్య,శ్రద్ధాంజలి
249,పర్యావరణం,సమాజశాస్త్రము
250,నృత్యము,సంఖ్యాశాస్త్రము
251,మాధ్యమికవిద్య,విశ్వాసము
252,అనూహ్యమైన,అర్థశాస్త్రము
253,నెల్లూరు,భౌతికశాస్త్రము
254,చరిత్రశాస్త్రము,నక్షత్రం
255,రసాయనశాస్త్రము,సంప్రదాయము
256,చరిత్రశాస్త్రము,సంస్కృతము
257,నిరుత్సాహం,ప్రజాస్వామ్యము
258,జీవశాస్త్రం,శస్త్రచికిత్స
259,విప్లవోద్యమము,భాషాశాస్త్రము
260,బాధ్యతాయుతమైన,సంఖ్యాశాస్త్రము
261,సంఖ్యాశాస్త్రము,సంతృప్తికరమైన
262,పర్యావరణశాస్త్రము,రాజ్యాధికారము
263,బంధం,రాజ్యాధికారము
264,అర్థశాస్త్రము,గాలి
265,అర్థశాస్త్రము,పూలు
266,ప్రజాస్వామ్యము,సాధన
267,గణితశాస్త్రము,విలువ
268,సామాజికన్యాయము,సూచన
269,దూరం,వైద్యశాస్త్రము
270,ఆకృతి,రాజ్యాధికారము
271,కండరము,భౌతికశాస్త్రం
272,పట్టిక,సమాజశాస్త్రము
273,ఇల్లు,భౌతికశాస్త్రము
274,భూగోళశాస్త్రము,శ్రవణం
275,కళాశాల,ప్రజాస్వామ్యము
276,ప్రాంతం,మాధ్యమికవిద్య
277,భూగోళశాస్త్రము,శిక్షణ
278,ప్రయోజనకరమైన,వైద్యుడు
279,ప్రపంచం,భౌతికశాస్త్రం
280,నిర్ణయం,భౌతికశాస్త్రము
281,పుస్తకం,విశ్వవిద్యాలయం
282,ప్రజాప్రతినిధి,వ్యంజనం
283,మాధ్యమికవిద్య,వినియోగం
284,ప్రజాప్రతినిధి,ఎన్నికలు
285,ఎన్నికలు,ప్రజాస్వామ్యము
286,చరిత్రశాస్త్రము,సంగీతము
287,రసాయనశాస్త్రము,విశ్వాసం
288,అనూహ్యమైన,ఖగోళశాస్త్రము
289,ఆచరించడం,విశ్వవిద్యాలయం
290,కంప్యూటర్,రసాయనశాస్త్రం
291,చలనచిత్రము,సాంకేతికవిద్య
292,అనంతపురము,సామాజికన్యాయము
293,కంప్యూటరు,విశ్వవిద్యాలయము
294,హైదరాబాద్,చరిత్రశాస్త్రము
295,తత్త్వశాస్త్రము,కంప్యూటరు
296,వైద్యశాస్త్రము,నిజామాబాద్
297,నిరుత్సాహం,సామాజికన్యాయము
298,తత్త్వశాస్త్రము,పరిష్కారం
299,ధర్మాచరణము,విశ్వవిద్యాలయము
300,అనంతపురము,మనస్తత్వశాస్త్రము
301,చరిత్రశాస్త్రము,విశ్వవిద్యాలయం
302,పటం,రాజ్యాధికారము
303,మందు,శస్త్రచికిత్స
304,గది,ప్రజాప్రతినిధి
305,ప్రజాప్రతినిధి,భాష
306,రసాయనశాస్త్రము,మందు
307,వైద్యశాస్త్రము,సాధన
308,పఠనం,రసాయనశాస్త్రము
309,ఇల్లు,సాంకేతికవిద్య
310,భూగోళశాస్త్రము,నదులు
311,కుక్క,భూగోళశాస్త్రము
312,పత్రం,సామాజికన్యాయము
313,ప్రాథమికవిద్య,సహనశీలత
314,ఇల్లు,తత్త్వశాస్త్రము
315,అంతరిక్షపరిశోధన,నాన్న
316,అభివృద్ధిచేయడం,వరంగల్
317,నిరంతరాభివృద్ధి,వర్షం
318,అనువాదం,ప్రజాప్రతినిధి
319,ప్రజాస్వామ్యము,సహనశీలత
320,తత్త్వశాస్త్రము,భాష్యం
321,తత్త్వశాస్త్రము,వ్యంజనం
322,నిరంతరాభివృద్ధి,విజయవాడ
323,ప్రమాణం,సంఖ్యాశాస్త్రము
324,అనువాదం,తత్త్వశాస్త్రము
325,ప్రయాణించడం,సామాజికన్యాయము
326,అంతర్జాతీయము,విశ్వవిద్యాలయం
327,మనస్తత్వశాస్త్రము,విద్యాలయము
328,విశాఖపట్నం,పర్యావరణశాస్త్రము
329,రాజమహేంద్రవరం,సంఖ్యాశాస్త్రము
330,పర్యావరణశాస్త్రము,విప్లవోద్యమము
331,నౌక,వైద్యశాస్త్రము
332,పటం,భూగోళశాస్త్రము
333,ప్రజాప్రతినిధి,కుటుంబము
334,నాన్న,మనస్తత్వశాస్త్రము
335,చరిత్రశాస్త్రము,పులిహోర
336,మనస్తత్వశాస్త్రము,సహకారం
337,సంఖ్యాశాస్త్రము,అభివృద్ధి
338,ప్రాంతం,మనస్తత్వశాస్త్రము
339,భౌతికశాస్త్రము,ప్రాథమికవిద్య
340,న్యాయము,సర్వోన్నతన్యాయస్థానము
341,వ్యాయామం,సర్వోన్నతన్యాయస్థానము
342,వ్యవస్థాపన,సర్వోన్నతన్యాయస్థానము
343,వ్యాఖ్యానం,సర్వోన్నతన్యాయస్థానము
344,విశ్వవిద్యాలయము,పండుగ
345,నిరంతరాభివృద్ధి,సామాజికన్యాయము
346,అంతరిక్షపరిశోధన,విశ్వవిద్యాలయము
347,సర్వోన్నతన్యాయస్థానము,అభివృద్ధి
348,పటం,పదం
349,భావం,భావన
350,నీరు,నోరు
351,ఆహారం,ఆచారం
352,వాచనం,వాహనం
353,ఆకారము,ఆకాశము
354,పరీక్ష,పరీక్షణ
355,ప్రమాణం,ప్రమాదం
356,పఠనం,పదం
357,భయం,భావం
358,భవనం,భావం
359,పఠనం,సహనం
360,కోపం,దోషం
361,చలనం,సహనం
362,సమయం,సమీపం
363,రక్షణ,శిక్షణ
364,జ్ఞానం,స్థానం
365,పట్టణం,పట్టిక
366,అతివృష్టి,అనావృష్టి
367,కడప,సేవ
368,కడప,పదం
369,గుణం,పదం
370,కడప,కరుణ
371,కవిత,దిశ
372,కోపం,పంట
373,పంట,సంఘటన
374,గుణం,దోషం
375,గుణం,సహనం
376,గుణం,వేగం
377,పూలు,కాయలు
378,కల్పన,కోపం
379,ఇల్లు,నదులు
380,ఖమ్మం,చట్టం
381,చిత్రం,వితరణ
382,కళాశాల,పాఠశాల
383,ఆకృతి,ప్రకృతి
384,ధైర్యము,వర్షము
385,ప్రకృతి,ప్రాంతం
386,వ్యవసాయం,వ్యవస్థ
387,స్వతంత్రము,స్వాతంత్ర్యము
388,పని,బంధం
389,కడప,భావం
390,దారి,భయం
391,భవనం,మధ్య
392,కొలత,రంగు
393,చారు,దేశం
394,ఎముక,సూచన
395,పప్పు,చారు
396,ప్రేమ,కరుణ
397,దేశం,నదులు
398,ఖమ్మం,భావం
399,అట్టు,ఇడ్లీ
400,చారు,చిత్రం
401,ఆలోచన,సంఘటన
402,ఖమ్మం,నమూనా
403,చట్టం,నియమం
404,సమయం,స్మృతి
405,దోషం,లక్షణం
406,ఖర్చు,శబ్దం
407,నదులు,కొండలు
408,హృదయము,మెదడు
409,గ్రామం,నియమం
410,ఇల్లు,ఫలితము
411,క్రమం,లక్ష్యం
412,వాక్యం,సూత్రం
413,చర్మము,స్వరము
414,చట్టము,చెవులు
415,వర్షము,హృదయము
416,అనువాదం,నివారణ
417,పరిణామం,ప్రమాదం
418,నక్షత్రం,సూత్రం
419,సేవ,గుణము
420,అగ్ని,నీరు
421,అగ్ని,పూలు
422,పదం,సంకలనం
423,ఆహారం,రంగు
424,గుణం,ప్రేమ
425,ఇడ్లీ,గుణం
426,నోరు,ముక్కు
427,డేటా,సహకారం
428,మాపకం,రక్షణ
429,అట్టు,ఆదాయం
430,గణితం,సూచిక
431,వృద్ధి,సాధన
432,కాళ్ళు,మనసు
433,పాలు,శాసనసభ
434,ఆహారం,మనిషి
435,మెదడు,విలువ
436,మనిషి,మూల్యం
437,వాహనం,శ్రవణం
438,భద్రత,హృదయము
439,పెళ్ళి,భద్రత
440,నిర్ణయం,నోరు
441,ఆనందం,సహకారం
442,ఆకాశము,సమాజం
443,నదులు,నాణ్యత
444,శాసనసభ,శిక్ష
445,పత్రం,రోడ్డు
446,చెట్టు,శక్తి
447,గణితం,జ్ఞానం
448,అడవులు,చెట్టు
449,సూత్రం,స్మృతి
450,ఆచరణ,ఆవిష్కరణ
451,ఉద్యోగం,లక్షణం
452,క్షీణత,హక్కులు
453,విలువ,విశ్లేషణ
454,చెవులు,నెల్లూరు
455,సమాచారము,సందేశము
456,హక్కులు,బాధ్యతలు
457,మూల్యం,సేవ
458,రోడ్డు,సూచన
459,ఔషధం,కాళ్ళు
460,కడప,ముగింపు
461,సంతోషము,సేవ
462,భయం,వ్యాఖ్య
463,చట్టము,శిక్ష
464,వర్షము,సమీపం
465,దుఃఖం,హృదయము
466,కాయలు,చిత్రం
467,పరిమాణం,భవనం
468,నైతికత,సంఖ్య
469,చట్టము,వాహనం
470,కాళ్ళు,ఫలితం
471,పట్టిక,శిక్ష
472,ప్రసంగం,భావం
473,ప్రేమ,సంకలనం
474,జీవితం,ప్రేమ
475,ధైర్యము,శక్తి
476,అగ్ని,వ్యంజనం
477,కండరము,బాధ్యత
478,నృత్యము,శక్తి
479,ఆకాశము,భాష్యం
480,పద్ధతి,సంభాషణ
481,దూరం,ప్రయత్నం
482,కరుణ,ప్రక్రియ
483,వేగం,వ్యాపారం
484,ఐకమత్యం,సృష్టి
485,నివేదిక,పచ్చడి
486,వ్యాకరణం,శరీరం
487,మాపకం,సమాచారము
488,చికిత్స,సంకలనం
489,కాళ్ళు,రాజధాని
490,ముగింపు,హృదయము
491,ఆకాశము,సముద్రము
492,బాధ్యత,లక్ష్యము
493,నక్షత్రం,పట్టణం
494,చర్మము,బిర్యానీ
495,సంభాషణ,సంస్కృతి
496,వ్యాయామం,స్వరము
497,పురోగతి,రాజధాని
498,ధైర్యము,ప్రక్రియ
499,పుస్తకము,బాధ్యతలు
500,సాంస్కృతికత,స్మృతి
501,అంతర్జాతీయము,రాజకీయము
502,గ్రంథాలయము,ప్రభుత్వము
503,గ్రంథాలయము,సంప్రదాయము
504,కడప,లక్ష్యము
505,కొలత,ప్రసంగం
506,చలనం,ప్రకృతి
507,చలనం,వేదికసభ
508,ప్రదర్శన,భావన
509,దుఃఖం,విధానము
510,నమూనా,సందేశము
511,పుస్తకము,సాధన
512,తర్కం,సహనశీలత
513,ప్రాంతం,సంఖ్య
514,పరివర్తనం,రచన
515,అట్టు,ఉత్పత్తి
516,వేదికసభ,శ్రవణం
517,ఫలితం,వ్యవసాయం
518,ఖర్చు,నైపుణ్యం
519,అట్టు,ప్రవర్తన
520,ఆశ్చర్యం,వితరణ
521,ప్రక్రియ,హల్వా
522,ముగింపు,స్థానం
523,పాలు,ప్రయోగశాల
524,ఉత్పత్తి,శబ్దం
525,అనువాదం,ప్రతీక
526,చికిత్స,నీళ్ళు
527,క్రమం,బిర్యానీ
528,పటమాపకం,బాధ్యత
529,నొప్పి,హక్కులు
530,నియమం,సముద్రము
531,ఆకాశము,ప్రమాణం
532,నైతికత,వ్యవస్థ
533,నదులు,సమానత్వం
534,సమాచారము,జ్ఞానం
535,మూల్యం,విశ్లేషణ
536,నివేదిక,ప్రమాదం
537,బాధ్యతలు,సంకేతం
538,నైతికత,పుస్తకము
539,అక్షరం,ఆచరించడం
540,ఉదాహరణ,నెల్లూరు
541,మాతృభాష,వేదికసభ
542,నైపుణ్యం,సహకారం
543,పుస్తకము,శాసనసభ
544,రేడియో,వ్యాయామం
545,ఆచరించడం,వర్షము
546,నెల్లూరు,సహకారం
547,ద్వేషం,నాయకత్వం
548,వ్యాయామం,సందేశము
549,సహకారం,సామర్థ్యం
550,పరిశోధనము,శాసనసభ
551,నిర్ణయము,పరిశీలన
552,పచ్చడి,పరిష్కారం
553,కుటుంబము,మిత్రుడు
554,గౌరవించడం,పరిశోధన
555,అంగీకారం,నైపుణ్యం
556,సాంకేతికత,స్వేచ్ఛ
557,అభ్యర్థన,సాహిత్యం
558,వంటిల్లు,వ్యాకరణం
559,ఆకారము,గ్రంథాలయము
560,ప్రయోగశాల,వ్యవహారం
561,కంప్యూటర్,లక్ష్యము
562,దూరదర్శిని,రాజధాని
563,అతివృష్టి,అభ్యర్థన
564,సందర్శకులు,సరిహద్దు
565,పర్యావరణము,సముద్రము
566,వంటిల్లు,సందర్శకులు
567,అనంతపురము,పర్యావరణము
568,దిశ,ప్రయత్నం
569,పుస్తకము,భయం
570,ఆవిష్కరణ,కొలత
571,డేటా,ప్రదర్శన
572,దేశం,బిర్యానీ
573,వ్యవహారం,శక్తి
574,ఆరంభం,సంస్కృతి
575,అనంతపురము,కొలత
576,ఆలోచన,వ్యాపారం
577,నోరు,సంప్రదాయం
578,వ్యవసాయం,సూచిక
579,మనసు,సామర్థ్యం
580,అనంతపురము,బంధం
581,అతివృష్టి,వితరణ
582,శ్రవణం,సరిహద్దు
583,ఆసుపత్రి,వ్యాసం
584,మెదడు,సంస్కరణలు
585,బిర్యానీ,సంకేతం
586,కుటుంబము,చరిత్ర
587,అద్భుతమైన,నాణ్యత
588,ఆలోచన,చలనచిత్రము
589,నాయకత్వం,వివేకము
590,రాజధాని,సముద్రము
591,వ్యాసం,సంస్కరణలు
592,పర్యావరణం,బాధ్యత
593,రాష్ట్రం,సహనశీలత
594,ఆరంభం,గ్రంథాలయము
595,అభ్యర్థన,తిరుపతి
596,అక్షరం,సాంకేతికత
597,తర్కం,రేఖాచిత్రం
598,మాపకం,సృజనాత్మకత
599,ప్రతిపాదన,రోడ్డు
600,ఉత్పత్తి,సంతోషము
601,ఆదాయం,ప్రశంసనీయం
602,దూరదర్శిని,రక్షణ
603,వేదికసభ,సమాచారము
604,చట్టము,పర్యావరణం
605,దూరదర్శిని,రేడియో
606,సృష్టి,స్వతంత్రము
607,నిర్ణయం,వ్యాకరణము
608,ఆవిష్కరణ,సమానత్వం
609,ప్రయోగశాల,సందేశము
610,ఖర్చు,విమర్శించడం
611,స్వతంత్రము,హృదయము
612,ప్రయోగం,సంస్కరణలు
613,పుస్తకము,వ్యాకరణం
614,నాయకత్వం,ప్రయోగశాల
615,వ్యాపారం,స్వతంత్రము
616,ఉత్పత్తి,మహోన్నతమైన
617,ప్రతిబింబం,సంప్రదాయం
618,ప్రయాణం,ప్రయోజనకరమైన
619,మిత్రుడు,విమర్శించడం
620,నిరుత్సాహం,పటం
621,అభివృద్ధి,చారు
622,నిజామాబాద్,భాష
623,పదం,వ్యాఖ్యానం
624,వ్యాకరణము,సమస్య
625,రైతు,సృజనాత్మకత
626,జీవనవిధానం,డేటా
627,గ్రంథాలయం,శిక్ష
628,గుణము,సంప్రదాయం
629,దూరదర్శిని,పఠనం
630,ప్రభుత్వము,మనసు
631,ఖర్చు,జాతీయసంపద
632,ఆదర్శవంతమైన,రచన
633,ఆలోచించడం,రక్షణ
634,దేశం,నిర్మించడం
635,ఇల్లు,నిర్మించడం
636,చెట్టు,జాతీయసంపద
637,రేఖాచిత్రం,శక్తి
638,నిర్మించడం,లేఖనం
639,ప్రతిబింబం,మాపకం
640,ఆలోచించడం,నీళ్ళు
641,అగ్ని,సంప్రదాయము
642,నొప్పి,వ్యాకరణము
643,దుఃఖం,సంప్రదాయము
644,జీవితం,వ్యాఖ్యానం
645,అన్వేషించడం,పత్రం
646,అతివృష్టి,ప్రాంతం
647,అనువాదం,సంస్కరణలు
648,నిర్ణయం,సాంకేతికత
649,విమర్శించడం,శబ్దం
650,అనంతపురము,సహనశీలత
651,గౌరవించడం,సంతోషము
652,నీటిపారుదల,వర్షము
653,ప్రతిపాదన,వివేకము
654,కంప్యూటర్,మాతృభాష
655,పర్యావరణం,వివేకము
656,తిరుపతి,సంప్రదాయము
657,అతివృష్టి,రాజకీయము
658,ప్రయోగం,మహోన్నతమైన
659,మహోత్కృష్టం,వివేకం
660,ముక్కు,విశ్వంభరుడు
661,నీటిపారుదల,సంతోషము
662,జాతీయసంపద,ప్రదర్శన
663,నిర్మించడం,వంటిల్లు
664,నిర్మాణం,రేఖాచిత్రం
665,అగమ్యగోచరం,మార్కెట్
666,రాష్ట్రం,సందర్శకులు
667,ఉద్యోగం,శ్రద్ధాంజలి
668,అంగీకారం,గ్రంథాలయము
669,నీటిపారుదల,ప్రయోగశాల
670,నిర్మాణం,సర్వాధికారి
671,మహోన్నతమైన,సామర్థ్యం
672,ఉత్పత్తి,కార్యక్రమము
673,వ్యక్తిత్వం,సంస్కృతి
674,చిరస్మరణీయం,సమానత్వం
675,పర్యావరణం,మహోత్కృష్టం
676,అసాధారణమైన,విశాఖపట్నం
677,నిరుత్సాహం,రేఖాచిత్రం
678,సంతృప్తికరమైన,సంప్రదాయం
679,వార్తాపత్రిక,సాంస్కృతికత
680,అగమ్యగోచరం,పూలు
681,వేగం,సంప్రదాయము
682,పరిశీలించడం,పోషణ
683,కొలత,సంఘటనాత్మకత
684,భావన,సాంస్కృతికత
685,ఆరంభం,నిజామాబాద్
686,క్రమం,సర్వాధికారి
687,క్షీణత,జీవనవిధానం
688,ఆదాయం,కార్యక్రమము
689,అవసరం,పరిశీలించడం
690,చర్మము,విశాఖపట్నం
691,వ్యంజనం,సృజనాత్మకత
692,ఆదర్శవంతమైన,సృష్టి
693,ఉపాధ్యాయుడు,సూత్రం
694,మాపకం,వార్తాపత్రిక
695,ఆదర్శవంతమైన,రోడ్డు
696,విశాఖపట్నం,సముద్రము
697,ఐకమత్యం,ప్రయాణించడం
698,నివారణ,వార్తాపత్రిక
699,ధైర్యము,వ్యక్తిత్వం
700,ఐకమత్యం,పరిశీలించడం
701,పత్రం,స్వాతంత్ర్యము
702,సంకలనం,సర్వశ్రేష్ఠం
703,అద్భుతమైన,నీటిపారుదల
704,ప్రకృతి,సంతృప్తికరమైన
705,చిరస్మరణీయం,ప్రయోగశాల
706,ఆలోచించడం,శ్రద్ధాంజలి
707,యంత్రము,విప్లవోద్యమము
708,రాజధాని,రాజమహేంద్రవరం
709,మిత్రుడు,సర్వశ్రేష్ఠం
710,అసాధారణమైన,ప్రయాణించడం
711,గ్రంథాలయం,స్వాతంత్ర్యము
712,విప్లవోద్యమము,విశాఖపట్నం
713,ఆదర్శవంతమైన,సర్వశ్రేష్ఠం
714,సాంస్కృతికత,స్వాతంత్ర్యము
715,కార్యక్రమము,సేవ
716,కార్యక్రమము,దోషం
717,ఆదర్శవంతమైన,డేటా
718,ఉపాధ్యాయుడు,లేఖనం
719,రచన,సంతృప్తికరమైన
720,చట్టం,వార్తాపత్రిక
721,అడవులు,చిరస్మరణీయం
