pair_id,w1,w2,LED
58,33;60;39;48;39;1,46;29;60;39;38;51,5
59,16;48;42;60;42;51,37;58;22;33;38;51,5
60,46;1;18;50;29;38;51,33;53;29;60;39;38;51,5
61,18;51;1;24;52;40;51,16;40;60;33;52;41;51,5
62,43;49;22;39;43;48;26,43;60;39;43;47;48;40;1,5
63,20;1;31;60;40;51;26;51,46;1;46;60;16;40;28;41;51,5
64,47;56;31;40;48;36;48;31;60,33;49;22;48;38;48;36;48;31;60,5
65,33;60;39;48;39;46;60;30;48;33;38;51,33;60;39;48;39;38;51,5
66,46;48;1;16;55;29;49;16;29,46;48;1;16;55;29;49;16;43;49;31;60;39,5
67,40;48;22;60;39;48;1;18;38;51,40;48;22;60;39;48;32;49;16;48;40;38;51,5
68,43;49;31;60;39;48;41;39;38;51,43;49;44;60;43;43;49;31;60;39;48;41;39;38;51,5
69,40;46;48;39;33;44;48;46;60;29;60;40;38;51,22;50;43;44;48;46;60;29;60;40;38;51,5
70,43;40;60;45;38;51,18;48;41;49,6
71,46;49;1;47;38;51,34;51;41;49,6
72,33;48;24;16;38;51,16;43;49;29,6
73,34;1;26;51,43;60;39;48;32;49,6
74,33;57;34;60;34;49,40;58;18;38;51,6
75,43;40;1;18;41;60,17;38;60;38;1,6
76,40;58;18;38;51,33;57;34;60;34;49,6
77,18;60;40;48;38;1,34;1;26;51;18,6
78,16;57;1;26;41;51,43;40;60;45;1,6
79,16;51;16;60;16,33;49;40;52;34;28,6
80,34;60;40;39;48;28;1,40;56;41;51,6
81,38;33;49;45;49,43;40;1;18;41;60,6
82,16;40;51;28,18;51;40;60;40;38;51,6
83,33;49;40;60;28;39;1,40;56;41;51,6
84,16;40;51;28,18;51;1;24;52;40;51,6
85,44;48;1;29;49,46;47;33;44;50;41;29,6
86,11;33;51;18;51,18;51;40;60;40;38;51,6
87,46;52;40;60;39;51;26;51,33;50;40;51,6
88,33;49;43;55;31;49;16,34;16;60;45;49,6
89,43;48;47;33;38;51,46;38;50;16;60;45,6
90,3;33;60;33;38;51,34;48;25;44;48;41,6
91,34;16;60;45;49,34;60;40;43;40;60;29;33,6
92,33;49;40;60;28;39;1,46;29;60;39;38;51,6
93,16;57;1;26;41;51,33;60;39;48;39;38;51,6
94,20;54;24;60;24;51,29;38;60;38;51;26;51,6
95,18;51;40;60;40;38;51,34;51;41;49;47;58;40,6
96,22;60;43;40;38;51,34;60;40;31;40;60;44;33,6
97,29;38;60;38;51;26;51,20;54;41;60;41;54;41;51,6
98,46;60;33;55;47;38;51,43;49;44;60;43;48;46;38;51,6
99,34;60;40;37;51;29;60;43;38;51,34;40;49;34;48;41;33;38;51,6
100,43;56;31;60;39;51;26;51,7;34;48;32;60;39;48;39;51;26;51,6
101,20;55;34,34;60;40;38;48;28;1,7
102,46;60;33;55;47;38;51,16;40;51;28,7
103,3;16;60;16,34;51;41;49;47;58;40,7
104,18;48;41;49,43;60;39;48;39;48;38;1,7
105,33;48;33;60;33,34;60;40;46;1;18;1,7
106,33;48;24;16;38;51,43;60;39;1;22;33;1,7
107,37;58;22;33;38;51,43;1;24;49;41;60;41;51,7
108,40;48;22;32;48;33;49,46;60;33;55;47;38;51,7
109,44;48;1;29;49,46;38;48;33;29;60;43;38;51,7
110,4;40;58;18;60;39;38;51,20;54;43;51;41;51,7
111,18;51;1;24;52;40;51,34;24;38;48;34;16;1,7
112,43;56;31;60;39;51;26;51,46;1;29;58;45;38;51,7
113,20;41;33;20;49;29;60;40;38;51,33;48;24;16;38;51,7
114,33;48;28;60;39;29,33;60;39;48;39;43;49;31;60;39,7
115,43;49;31;60;39;51;29;60;29;51,39;1;29;60;40;38;51,7
116,33;60;39;48;39;38;51,43;49;31;60;39;48;40;60;30;49,7
117,16;1;34;60;39;52;24;40;51,38;49;29;60;40;51;26;51,7
118,16;1;34;60;39;52;24;40;51,5;1;24;40;60;33;54;24;60,7
119,38;48;32;60;39;38;49;16;43;49;31;60;39,7;33;60;33;29;43;49;31;60;39,7
120,34;40;60;39;48;43;40;28;44;48;46;60;29;60;40;38;51,34;40;60;39;48;43;40;28;38;51,7
121,34;40;60;39;48;43;40;28;44;48;46;60;29;60;40;38;51,37;48;45;48;44;48;46;60;29;60;40;38;51,7
122,20;55;34,34;60;40;43;40;60;29;33,8
123,34;1;26;51,43;49;44;60;43;48;46;1,8
124,38;1;31;51,44;48;46;60;29;60;40;1,8
125,4;40;1;37;1,20;54;41;60;41;54;41;51,8
126,18;28;49;29;1,46;52;40;60;39;51;26;51,8
127,40;56;41;51,47;56;31;40;48;36;48;31;60,8
128,3;16;60;16,46;38;48;33;29;60;43;38;51,8
129,16;48;39;41;51,47;56;31;40;48;36;48;31;60,8
130,4;40;58;18;60;39;38;51,43;49;43;55;16;1,8
131,33;48;24;16;38;51,36;49;40;60;39;48;33;50,8
132,34;48;41;33,34;60;40;44;1;46;33;50;39;1,8
133,33;49;40;60;38;49;1;20;26;1,37;52;38;49,8
134,4;40;58;18;60;39;46;55;43,11;33;51;18;51,8
135,34;51;41;49;47;58;40,36;49;40;60;39;48;33;50,8
136,3;33;60;33;38;51,16;1;34;60;39;52;24;40;60,8
137,16;48;39;41;51,32;40;60;38;48;20;40;28;38;51,8
138,33;49;39;38;1,33;60;39;48;39;43;49;31;60;39,8
139,34;40;60;39;48;43;40;28;1,43;40;1;18;41;60,8
140,34;31;60;32;29;49,43;49;44;60;43;48;46;38;51,8
141,43;60;39;48;32;49,47;56;31;40;48;36;48;31;60,8
142,43;56;31;60;39;51;26;51,4;46;51;34;29;60;40;49,8
143,31;60;43;55;45;1,43;49;31;60;39;48;41;39;38;51,8
144,40;55;17;48;20;49;29;60;40;1,43;56;31;60;39;1,8
145,7;29;60;34;29;60;29;49,43;49;44;60;43;48;46;1,8
146,43;49;22;39;43;48;26,43;49;44;48;17;34;24;60;33;1,8
147,43;49;31;60;39;48;40;60;30;49,43;55;31;49;16;46;37,8
148,4;41;58;20;49;1;20;26;1,46;52;40;60;39;51;26;51,8
149,34;40;49;44;58;32;33;38;51,46;52;40;60;39;51;26;51,8
150,4;40;58;18;60;39;46;55;43,34;40;49;34;48;41;33;38;51,8
151,22;50;43;44;48;46;60;29;60;40;1,43;60;39;48;34;48;40;1,8
152,22;60;43;40;38;51,46;38;48;22;44;48;46;60;29;60;40;38;51,8
153,43;49;31;60;39;48;41;39;38;51,47;56;31;40;48;36;48;31;60,8
154,18;51;40;60;40;38;51,22;50;43;44;48;46;60;29;60;40;38;51,8
155,33;60;39;48;39;46;60;30;48;33;38;51,43;49;38;48;33;38;51,8
156,43;49;31;60;39;48;40;60;30;51;41;51,7;34;48;32;60;39;48;39;51;26;51,8
157,5;1;24;40;60;33;54;24;60,31;55;44;1,9
158,3;38;60;38,46;48;1;16;55;29;49;16;29,9
159,33;56;29;49;16;29,43;49;44;60;43;48;46;38;51,9
160,3;37;49;43;53;31;60;32;49,46;60;33;55;47;1,9
161,16;51;16;60;16,20;41;33;20;49;29;60;40;38;51,9
162,34;60;40;44;1;46;33;50;39;1,43;49;31;60;39,9
163,38;47;58;33;60;33;29;38;56;33,44;48;1;29;49,9
164,4;40;58;18;60;39;46;55;43,46;1;16;55;29;1,9
165,3;16;60;16,38;47;58;29;60;16;53;45;60;24;1,9
166,5;1;24;40;60;33;54;24;60,33;49;43;55;31;49;16,9
167,43;53;29;60;29;49;43;49;31;60;39,46;38;46;60;39,9
168,40;48;22;60;39;48;1;18;38;51,46;60;43;55;20;60;21,9
169,22;50;43;44;48;46;60;29;60;40;1,31;60;43;55;45;1,9
170,43;48;16;60;39;1,43;53;29;60;29;49;43;49;31;60;39,9
171,12;16;38;29;60;39;1,33;60;39;48;39;43;49;31;60;39,9
172,43;56;31;60;39;43;49;31;60;39,46;60;33;55;47;38;51,9
173,43;49;22;39;43;48;26,46;53;22;33;48;29;60;38;16;29,9
174,34;60;40;48;30;38;49;16;43;49;31;60;39,34;60;40;55;38,9
175,20;40;49;29;60;40,22;50;43;44;48;46;60;29;60;40;38;51,9
176,18;59;40;43;49;1;20;26;1,32;40;60;38;48;20;40;28;38;51,9
177,4;16;48;40;38;51,37;48;45;48;44;48;46;60;29;60;40;38;51,9
178,18;28;49;29;44;48;46;60;29;60;40;38;51,34;40;49;34;48;41;33;38;51,9
179,43;56;31;60;39;44;48;46;60;29;60;40;38;51,46;38;48;33;29;60;43;38;51,9
180,37;59;29;49;16;44;48;46;60;29;60;40;38;51,16;48;40;60;39;16;60;40;38;38;51,9
181,33;60;39;48;39;46;60;30;48;33;38;51,46;40;60;43;58;33;60;33;29;33;60;39;48;39;46;60;30;48;33;38;51,9
182,34;24;1,43;49;31;60;39;51;29;60;29;51,10
183,34;33;49,46;29;60;39;46;1;32;51;26;51,10
184,20;55;34,46;60;43;29;1;29;60;40;38;51,10
185,16;43;49;29,40;48;22;60;39;48;1;18;38;51,10
186,16;58;34;1,43;49;31;60;39;48;40;60;30;49,10
187,3;33;60;33,43;60;39;16;60;29;49;29;60;43;1,10
188,4;16;48;40;38;51,7;33;60;33;29;43;49;31;60;39,10
189,34;40;50;16;60;45,46;29;60;39;46;1;32;51;26;51,10
190,16;42;60;42;51,46;1;19;24;33;48;29;60;38;16;29,10
191,3;33;60;43;55;45;49;1;20;26;1,33;48;33;60;33,10
192,33;60;39;48;39;43;49;31;60;39,34;51;46;60;29;16;1,10
193,3;33;51;37;43;1,22;50;43;44;48;46;60;29;60;40;1,10
194,22;50;43;44;48;46;60;29;60;40;38;51,3;26;43;51;41;51,10
195,4;46;51;34;29;60;40;49,43;49;31;60;39;48;41;39;38;51,10
196,4;46;51;34;29;60;40;49,43;56;31;60;39;43;49;31;60;39,10
197,4;31;48;39;1,40;46;48;39;33;44;48;46;60;29;60;40;1,10
198,22;60;?;48;33;1,43;49;31;60;39;48;40;60;30;51;41;51,10
199,4;40;58;18;60;39;1,43;49;44;60;43;1;37;40;51;26;51,10
200,17;18;58;42;44;48;46;60;29;60;40;38;51,4;16;48;44;38;51,10
201,5;1;24;40;60;33;54;24;60,18;60;40;1;30;48;41;39;38;51,10
202,43;60;39;16;60;29;49;29;60;43;1,46;52;40;60;39;51;26;51,10
203,38;48;32;60;39;38;49;16;43;49;31;60;39,38;48;40;60;34;51,10
204,22;50;43;44;48;46;60;29;60;40;38;51,47;16;60;16;51;41;51,10
205,4;31;48;39;1,43;49;44;60;43;43;49;31;60;39;48;41;39;1,10
206,16;42;48;44;48;41,37;48;45;48;44;48;46;60;29;60;40;38;51,10
207,16;1;34;60;39;52;24;40;51,43;60;39;43;46;60;30;48;34;33,10
208,38;48;32;60;39;38;49;16;43;49;31;60;39,43;60;39;48;32;49,10
209,33;60;39;48;39;46;60;30;48;33;38;51,47;16;60;16;51;41;51,10
210,43;49;44;60;43;48;46;1,46;48;1;46;60;16;53;29;49;16;29,10
211,31;52;40;31;40;60;44;49;33;49,43;49;31;60;39;48;41;39;38;51,10
212,22;50;43;44;48;46;60;29;60;40;38;51,43;60;39;43;47;48;40;1,10
213,33;50;24;49;34;48;40;51;31;41,43;53;29;60;29;49;43;49;31;60;39,10
214,4;44;60;20;40;60;39;1,40;46;48;39;33;44;48;46;60;29;60;40;1,10
215,17;18;58;42;44;48;46;60;29;60;40;38;51,18;38;33;48;40;60;47;1,10
216,43;49;44;60;43;48;46;1,43;56;31;60;39;44;48;46;60;29;60;40;38;51,10
217,33;60;39;48;39;46;60;30;48;33;38;51,34;60;40;39;48;28;49;1;20;26;1,10
218,18;28;49;29;44;48;46;60;29;60;40;38;51,46;29;60;39;46;1;32;51;26;51,10
219,3;1;29;40;60;22;48;29;50;39;38;51,43;49;31;60;39;48;40;60;30;51;41;51,10
220,40;48;22;38;47;55;1;31;60;40;43;40;1,40;48;22;60;39;48;32;49;16;48;40;38;51,10
221,3;1;29;40;60;22;48;29;50;39;38;51,40;46;48;39;33;44;48;46;60;29;60;40;38;51,10
222,43;49;44;60;43;43;49;31;60;39;48;41;39;38;51,46;60;43;48;29;1;29;60;40;60;39;38;51,10
223,33;60;39;48;39;46;60;30;48;33;38;51,34;40;60;39;48;43;40;28;44;48;46;60;29;60;40;38;51,10
224,38;33;46;60;29;29;60;43;44;48;46;60;29;60;40;38;51,46;60;43;48;29;1;29;60;40;60;39;38;51,10
225,34;51;41;49,38;47;58;29;60;16;53;45;60;24;1,11
226,40;56;41;51,43;60;39;16;60;29;49;29;60;43;1,11
227,34;48;41;33,43;49;38;40;60;44;49;1;20;26;1,11
228,18;48;41;49,46;48;1;16;55;29;49;16;43;49;31;60;39,11
229,4;29;60;38,46;48;1;16;55;29;49;16;43;49;31;60;39,11
230,34;1;26;51;18,34;60;40;39;58;22;33;16;40;38;56;33,11
231,3;16;60;16,44;46;60;29;60;40;20;49;16;49;29;60;46,11
232,22;50;43;44;48;46;60;29;60;40;1,38;51;18;49;1;34;51,11
233,34;34;60;34;51,46;38;48;22;44;48;46;60;29;60;40;38;51,11
234,17;18;58;42;44;48;46;60;29;60;40;38;51,46;38;46;60;39,11
235,35;41;49;29;1,40;46;48;39;33;44;48;46;60;29;60;40;1,11
236,33;56;29;49;16;29,34;60;40;48;30;38;49;16;43;49;31;60;39,11
237,34;20;60;20;26;49,34;60;40;48;30;38;49;16;43;49;31;60;39,11
238,33;56;29;49;16;29,40;46;48;39;33;44;48;46;60;29;60;40;1,11
239,18;28;49;29;44;48;46;60;29;60;40;38;51,44;49;16;60;45;28,11
240,16;1;34;60;39;52;24;40;51,34;40;49;44;50;41;49;1;20;26;1,11
241,22;60;?;48;33;1,43;49;44;60;43;43;49;31;60;39;48;41;39;1,11
242,3;40;60;30;44;48;46;60;29;60;40;38;51,34;60;40;16;53;29;49,11
243,38;51;18;49;1;34;51,46;38;48;22;44;48;46;60;29;60;40;38;51,11
244,18;28;49;29;44;48;46;60;29;60;40;38;51,34;60;40;43;40;60;29;33,11
245,32;40;60;38;48;20;40;28;38;51,38;47;58;29;60;16;53;45;60;24;1,11
246,34;60;40;22;48;46;60;43;48;38;60;39;38;51,43;49;43;55;16;38;51,11
247,37;48;45;48;44;48;46;60;29;60;40;38;51,46;48;1;16;55;29;49;16;29,11
248,43;53;29;60;29;49;43;49;31;60;39,44;60;40;31;60;32;48;1;22;41;49,11
249,34;40;60;39;48;43;40;28;1,46;38;48;22;44;48;46;60;29;60;40;38;51,11
250,33;53;29;60;39;38;51,46;1;17;60;39;48;44;48;46;60;29;60;40;38;51,11
251,38;48;32;60;39;38;49;16;43;49;31;60;39,43;49;44;60;43;48;46;38;51,11
252,3;33;52;47;60;39;38;56;33,3;40;60;30;44;48;46;60;29;60;40;38;51,11
253,33;54;41;60;41;52;40;51,37;59;29;49;16;44;48;46;60;29;60;40;38;51,11
254,20;40;49;29;60;40;44;48;46;60;29;60;40;38;51,33;16;60;45;29;60;40;1,11
255,40;46;48;39;33;44;48;46;60;29;60;40;38;51,46;1;34;60;40;31;48;39;38;51,11
256,20;40;49;29;60;40;44;48;46;60;29;60;40;38;51,46;1;46;60;16;53;29;38;51,11
257,33;49;40;51;29;60;46;48;47;1,34;60;40;22;48;46;60;43;48;38;60;39;38;51,11
258,22;50;43;44;48;46;60;29;60;40;1,44;46;60;29;60;40;20;49;16;49;29;60;46,11
259,43;49;34;60;41;43;58;31;60;39;38;38;51,37;48;45;48;44;48;46;60;29;60;40;38;51,11
260,36;48;32;60;39;29;48;39;51;29;38;56;33,46;1;17;60;39;48;44;48;46;60;29;60;40;38;51,11
261,46;1;17;60;39;48;44;48;46;60;29;60;40;38;51,46;1;29;53;34;60;29;49;16;40;38;56;33,11
262,34;40;60;39;48;43;40;28;44;48;46;60;29;60;40;38;51,40;48;22;60;39;48;32;49;16;48;40;38;51,11
263,36;1;32;1,40;48;22;60;39;48;32;49;16;48;40;38;51,12
264,3;40;60;30;44;48;46;60;29;60;40;38;51,18;48;41;49,12
265,3;40;60;30;44;48;46;60;29;60;40;38;51,34;52;41;51,12
266,34;60;40;22;48;46;60;43;48;38;60;39;38;51,46;48;32;33,12
267,18;28;49;29;44;48;46;60;29;60;40;38;51,43;49;41;51;43,12
268,46;48;38;48;22;49;16;33;60;39;48;39;38;51,46;52;20;33,12
269,31;52;40;1,43;56;31;60;39;44;48;46;60;29;60;40;38;51,12
270,4;16;53;29;49,40;48;22;60;39;48;32;49;16;48;40;38;51,12
271,16;1;26;40;38;51,37;59;29;49;16;44;48;46;60;29;60;40;1,12
272,34;24;60;24;49;16,46;38;48;22;44;48;46;60;29;60;40;38;51,12
273,5;41;60;41;51,37;59;29;49;16;44;48;46;60;29;60;40;38;51,12
274,37;52;18;58;42;44;48;46;60;29;60;40;38;51,44;60;40;43;28;1,12
275,16;42;48;44;48;41,34;60;40;22;48;46;60;43;48;38;60;39;38;51,12
276,34;60;40;48;1;29;1,38;48;32;60;39;38;49;16;43;49;31;60;39,12
277,37;52;18;58;42;44;48;46;60;29;60;40;38;51,44;49;16;60;45;28,12
278,34;60;40;39;58;22;33;16;40;38;56;33,43;56;31;60;39;51;26;51,12
279,34;60;40;34;1;20;1,37;59;29;49;16;44;48;46;60;29;60;40;1,12
280,33;49;40;60;28;39;1,37;59;29;49;16;44;48;46;60;29;60;40;38;51,12
281,34;51;46;60;29;16;1,43;49;44;60;43;43;49;31;60;39;48;41;39;1,12
282,34;60;40;22;48;34;60;40;29;49;33;49;32;49,43;60;39;1;22;33;1,12
283,38;48;32;60;39;38;49;16;43;49;31;60;39,43;49;33;49;39;58;18;1,12
284,34;60;40;22;48;34;60;40;29;49;33;49;32;49,10;33;60;33;49;16;41;51,12
285,10;33;60;33;49;16;41;51,34;60;40;22;48;46;60;43;48;38;60;39;38;51,12
286,20;40;49;29;60;40;44;48;46;60;29;60;40;38;51,46;1;18;50;29;38;51,12
287,40;46;48;39;33;44;48;46;60;29;60;40;38;51,43;49;44;60;43;48;46;1,12
288,3;33;52;47;60;39;38;56;33,17;18;58;42;44;48;46;60;29;60;40;38;51,12
289,4;20;40;49;1;20;26;1,43;49;44;60;43;43;49;31;60;39;48;41;39;1,12
290,16;1;34;60;39;52;24;40;60,40;46;48;39;33;44;48;46;60;29;60;40;1,12
291,20;41;33;20;49;29;60;40;38;51,46;48;1;16;55;29;49;16;43;49;31;60;39,12
292,3;33;1;29;34;51;40;38;51,46;48;38;48;22;49;16;33;60;39;48;39;38;51,12
293,16;1;34;60;39;52;24;40;51,43;49;44;60;43;43;49;31;60;39;48;41;39;38;51,12
294,47;56;31;40;48;36;48;31;60,20;40;49;29;60;40;44;48;46;60;29;60;40;38;51,12
295,29;29;60;29;60;43;44;48;46;60;29;60;40;38;51,16;1;34;60;39;52;24;40;51,12
296,43;56;31;60;39;44;48;46;60;29;60;40;38;51,33;49;22;48;38;48;36;48;31;60,12
297,33;49;40;51;29;60;46;48;47;1,46;48;38;48;22;49;16;33;60;39;48;39;38;51,12
298,29;29;60;29;60;43;44;48;46;60;29;60;40;38;51,34;40;49;45;60;16;48;40;1,12
299,32;40;60;38;48;20;40;28;38;51,43;49;44;60;43;43;49;31;60;39;48;41;39;38;51,12
300,3;33;1;29;34;51;40;38;51,38;33;46;60;29;29;60;43;44;48;46;60;29;60;40;38;51,12
301,20;40;49;29;60;40;44;48;46;60;29;60;40;38;51,43;49;44;60;43;43;49;31;60;39;48;41;39;1,12
302,34;24;1,40;48;22;60;39;48;32;49;16;48;40;38;51,13
303,38;1;31;51,44;46;60;29;60;40;20;49;16;49;29;60;46,13
304,18;31;49,34;60;40;22;48;34;60;40;29;49;33;49;32;49,13
305,34;60;40;22;48;34;60;40;29;49;33;49;32;49,37;48;45,13
306,40;46;48;39;33;44;48;46;60;29;60;40;38;51,38;1;31;51,13
307,43;56;31;60;39;44;48;46;60;29;60;40;38;51,46;48;32;33,13
308,34;25;33;1,40;46;48;39;33;44;48;46;60;29;60;40;38;51,13
309,5;41;60;41;51,46;48;1;16;55;29;49;16;43;49;31;60;39,13
310,37;52;18;58;42;44;48;46;60;29;60;40;38;51,33;31;51;41;51,13
311,16;51;16;60;16,37;52;18;58;42;44;48;46;60;29;60;40;38;51,13
312,34;29;60;40;1,46;48;38;48;22;49;16;33;60;39;48;39;38;51,13
313,34;60;40;48;30;38;49;16;43;49;31;60;39,46;47;33;44;50;41;29,13
314,5;41;60;41;51,29;29;60;29;60;43;44;48;46;60;29;60;40;38;51,13
315,3;1;29;40;49;16;60;45;34;40;49;44;58;32;33,33;48;33;60;33,13
316,3;37;49;43;53;31;60;32;49;20;55;39;26;1,43;40;1;18;41;60,13
317,33;49;40;1;29;40;48;37;49;43;53;31;60;32;49,43;40;60;45;1,13
318,3;33;51;43;48;31;1,34;60;40;22;48;34;60;40;29;49;33;49;32;49,13
319,34;60;40;22;48;46;60;43;48;38;60;39;38;51,46;47;33;44;50;41;29,13
320,29;29;60;29;60;43;44;48;46;60;29;60;40;38;51,37;48;45;60;39;1,13
321,29;29;60;29;60;43;44;48;46;60;29;60;40;38;51,43;60;39;1;22;33;1,13
322,33;49;40;1;29;40;48;37;49;43;53;31;60;32;49,43;49;22;39;43;48;26,13
323,34;60;40;38;48;28;1,46;1;17;60;39;48;44;48;46;60;29;60;40;38;51,13
324,3;33;51;43;48;31;1,29;29;60;29;60;43;44;48;46;60;29;60;40;38;51,13
325,34;60;40;39;48;28;49;1;20;26;1,46;48;38;48;22;49;16;33;60;39;48;39;38;51,13
326,3;1;29;40;60;22;48;29;50;39;38;51,43;49;44;60;43;43;49;31;60;39;48;41;39;1,13
327,38;33;46;60;29;29;60;43;44;48;46;60;29;60;40;38;51,43;49;31;60;39;48;41;39;38;51,13
328,43;49;44;48;17;34;24;60;33;1,34;40;60;39;48;43;40;28;44;48;46;60;29;60;40;38;51,13
329,40;48;22;38;47;55;1;31;60;40;43;40;1,46;1;17;60;39;48;44;48;46;60;29;60;40;38;51,13
330,34;40;60;39;48;43;40;28;44;48;46;60;29;60;40;38;51,43;49;34;60;41;43;58;31;60;39;38;38;51,13
331,33;59;16,43;56;31;60;39;44;48;46;60;29;60;40;38;51,14
332,34;24;1,37;52;18;58;42;44;48;46;60;29;60;40;38;51,14
333,34;60;40;22;48;34;60;40;29;49;33;49;32;49,16;51;24;51;1;36;38;51,14
334,33;48;33;60;33,38;33;46;60;29;29;60;43;44;48;46;60;29;60;40;38;51,14
335,20;40;49;29;60;40;44;48;46;60;29;60;40;38;51,34;51;41;49;47;58;40,14
336,38;33;46;60;29;29;60;43;44;48;46;60;29;60;40;38;51,46;47;16;48;40;1,14
337,46;1;17;60;39;48;44;48;46;60;29;60;40;38;51,3;37;49;43;53;31;60;32;49,14
338,34;60;40;48;1;29;1,38;33;46;60;29;29;60;43;44;48;46;60;29;60;40;38;51,14
339,37;59;29;49;16;44;48;46;60;29;60;40;38;51,34;60;40;48;30;38;49;16;43;49;31;60;39,14
340,33;60;39;48;39;38;51,46;40;60;43;58;33;60;33;29;33;60;39;48;39;46;60;30;48;33;38;51,14
341,43;60;39;48;39;48;38;1,46;40;60;43;58;33;60;33;29;33;60;39;48;39;46;60;30;48;33;38;51,14
342,43;60;39;43;46;60;30;48;34;33,46;40;60;43;58;33;60;33;29;33;60;39;48;39;46;60;30;48;33;38;51,14
343,43;60;39;48;17;60;39;48;33;1,46;40;60;43;58;33;60;33;29;33;60;39;48;39;46;60;30;48;33;38;51,14
344,43;49;44;60;43;43;49;31;60;39;48;41;39;38;51,34;1;26;51;18,15
345,33;49;40;1;29;40;48;37;49;43;53;31;60;32;49,46;48;38;48;22;49;16;33;60;39;48;39;38;51,15
346,3;1;29;40;49;16;60;45;34;40;49;44;58;32;33,43;49;44;60;43;43;49;31;60;39;48;41;39;38;51,15
347,46;40;60;43;58;33;60;33;29;33;60;39;48;39;46;60;30;48;33;38;51,3;37;49;43;53;31;60;32;49,19
348,34;24;1,34;31;1,1
349,37;48;43;1,37;48;43;33,1
350,33;50;40;51,33;58;40;51,1
351,4;47;48;40;1,4;20;48;40;1,1
352,43;48;20;33;1,43;48;47;33;1,1
353,4;16;48;40;38;51,4;16;48;44;38;51,1
354,34;40;50;16;60;45,34;40;50;16;60;45;28,1
355,34;60;40;38;48;28;1,34;60;40;38;48;31;1,1
356,34;25;33;1,34;31;1,2
357,37;39;1,37;48;43;1,2
358,37;43;33;1,37;48;43;1,2
359,34;25;33;1,46;47;33;1,2
360,16;58;34;1,31;58;45;1,2
361,20;41;33;1,46;47;33;1,2
362,46;38;39;1,46;38;50;34;1,2
363,40;16;60;45;28,44;49;16;60;45;28,2
364,22;60;?;48;33;1,46;60;30;48;33;1,2
365,34;24;60;24;28;1,34;24;60;24;49;16,2
366,3;29;49;43;53;45;60;24;49,3;33;48;43;53;45;60;24;49,2
367,16;26;34,46;55;43,3
368,16;26;34,34;31;1,3
