pair_id,w1,w2,w1_unicode,w2_unicode,LED
23,చరిత్రశాస్త్రము,సంస్కృతము,"['0xc1a', '0xc30', '0xc3f', '0xc24', '0xc4d', '0xc30', '0xc36', '0xc3e', '0xc38', '0xc4d', '0xc24', '0xc4d', '0xc30', '0xc2e', '0xc41']","['0xc38', '0xc02', '0xc38', '0xc4d', '0xc15', '0xc43', '0xc24', '0xc2e', '0xc41']",11
24,మనస్తత్వశాస్త్రము,స్వాతంత్ర్యము,"['0xc2e', '0xc28', '0xc38', '0xc4d', '0xc24', '0xc24', '0xc4d', '0xc35', '0xc36', '0xc3e', '0xc38', '0xc4d', '0xc24', '0xc4d', '0xc30', '0xc2e', '0xc41']","['0xc38', '0xc4d', '0xc35', '0xc3e', '0xc24', '0xc02', '0xc24', '0xc4d', '0xc30', '0xc4d', '0xc2f', '0xc2e', '0xc41']",10
25,మాధ్యమికవిద్య,ఉన్నతవిద్య,"['0xc2e', '0xc3e', '0xc27', '0xc4d', '0xc2f', '0xc2e', '0xc3f', '0xc15', '0xc35', '0xc3f', '0xc26', '0xc4d', '0xc2f']","['0xc09', '0xc28', '0xc4d', '0xc28', '0xc24', '0xc35', '0xc3f', '0xc26', '0xc4d', '0xc2f']",7
26,ఆకాశము,సముద్రము,"['0xc06', '0xc15', '0xc3e', '0xc36', '0xc2e', '0xc41']","['0xc38', '0xc2e', '0xc41', '0xc26', '0xc4d', '0xc30', '0xc2e', '0xc41']",6
27,నదులు,కొండలు,"['0xc28', '0xc26', '0xc41', '0xc32', '0xc41']","['0xc15', '0xc4a', '0xc02', '0xc21', '0xc32', '0xc41']",4
28,అడవులు,చెట్టు,"['0xc05', '0xc21', '0xc35', '0xc41', '0xc32', '0xc41']","['0xc1a', '0xc46', '0xc1f', '0xc4d', '0xc1f', '0xc41']",5
29,వర్షము,గాలి,"['0xc35', '0xc30', '0xc4d', '0xc37', '0xc2e', '0xc41']","['0xc17', '0xc3e', '0xc32', '0xc3f']",6
30,పువ్వు,పండు,"['0xc2a', '0xc41', '0xc35', '0xc4d', '0xc35', '0xc41']","['0xc2a', '0xc02', '0xc21', '0xc41']",4
31,సింహము,పులి,"['0xc38', '0xc3f', '0xc02', '0xc39', '0xc2e', '0xc41']","['0xc2a', '0xc41', '0xc32', '0xc3f']",6
32,ఏనుగు,గుర్రము,"['0xc0f', '0xc28', '0xc41', '0xc17', '0xc41']","['0xc17', '0xc41', '0xc30', '0xc4d', '0xc30', '0xc2e', '0xc41']",6
33,పక్షి,చేప,"['0xc2a', '0xc15', '0xc4d', '0xc37', '0xc3f']","['0xc1a', '0xc47', '0xc2a']",5
34,ఆవు,కుక్క,"['0xc06', '0xc35', '0xc41']","['0xc15', '0xc41', '0xc15', '0xc4d', '0xc15']",5
35,పులి,ఏనుగు,"['0xc2a', '0xc41', '0xc32', '0xc3f']","['0xc0f', '0xc28', '0xc41', '0xc17', '0xc41']",4
36,అమ్మ,నాన్న,"['0xc05', '0xc2e', '0xc4d', '0xc2e']","['0xc28', '0xc3e', '0xc28', '0xc4d', '0xc28']",4
37,అన్న,అక్క,"['0xc05', '0xc28', '0xc4d', '0xc28']","['0xc05', '0xc15', '0xc4d', '0xc15']",2
38,తమ్ముడు,చెల్లెలు,"['0xc24', '0xc2e', '0xc4d', '0xc2e', '0xc41', '0xc21', '0xc41']","['0xc1a', '0xc46', '0xc32', '0xc4d', '0xc32', '0xc46', '0xc32', '0xc41']",6
39,కుటుంబము,మిత్రుడు,"['0xc15', '0xc41', '0xc1f', '0xc41', '0xc02', '0xc2c', '0xc2e', '0xc41']","['0xc2e', '0xc3f', '0xc24', '0xc4d', '0xc30', '0xc41', '0xc21', '0xc41']",7
40,స్నేహము,విశ్వాసము,"['0xc38', '0xc4d', '0xc28', '0xc47', '0xc39', '0xc2e', '0xc41']","['0xc35', '0xc3f', '0xc36', '0xc4d', '0xc35', '0xc3e', '0xc38', '0xc2e', '0xc41']",6
41,కళ్ళు,చెవులు,"['0xc15', '0xc33', '0xc4d', '0xc33', '0xc41']","['0xc1a', '0xc46', '0xc35', '0xc41', '0xc32', '0xc41']",5
42,చేతులు,కాళ్ళు,"['0xc1a', '0xc47', '0xc24', '0xc41', '0xc32', '0xc41']","['0xc15', '0xc3e', '0xc33', '0xc4d', '0xc33', '0xc41']",5
43,నోరు,ముక్కు,"['0xc28', '0xc4b', '0xc30', '0xc41']","['0xc2e', '0xc41', '0xc15', '0xc4d', '0xc15', '0xc41']",5
44,హృదయము,మెదడు,"['0xc39', '0xc43', '0xc26', '0xc2f', '0xc2e', '0xc41']","['0xc2e', '0xc46', '0xc26', '0xc21', '0xc41']",4
45,రక్తము,శ్వాస,"['0xc30', '0xc15', '0xc4d', '0xc24', '0xc2e', '0xc41']","['0xc36', '0xc4d', '0xc35', '0xc3e', '0xc38']",5
46,వైద్యుడు,ఆసుపత్రి,"['0xc35', '0xc48', '0xc26', '0xc4d', '0xc2f', '0xc41', '0xc21', '0xc41']","['0xc06', '0xc38', '0xc41', '0xc2a', '0xc24', '0xc4d', '0xc30', '0xc3f']",8
47,జ్వరము,రోగము,"['0xc1c', '0xc4d', '0xc35', '0xc30', '0xc2e', '0xc41']","['0xc30', '0xc4b', '0xc17', '0xc2e', '0xc41']",4
48,మందు,శస్త్రచికిత్స,"['0xc2e', '0xc02', '0xc26', '0xc41']","['0xc36', '0xc38', '0xc4d', '0xc24', '0xc4d', '0xc30', '0xc1a', '0xc3f', '0xc15', '0xc3f', '0xc24', '0xc4d', '0xc38']",13
49,ఆరోగ్యము,ఆరోగ్యసేవ,"['0xc06', '0xc30', '0xc4b', '0xc17', '0xc4d', '0xc2f', '0xc2e', '0xc41']","['0xc06', '0xc30', '0xc4b', '0xc17', '0xc4d', '0xc2f', '0xc38', '0xc47', '0xc35']",3
50,నొప్పి,రోగము,"['0xc28', '0xc4a', '0xc2a', '0xc4d', '0xc2a', '0xc3f']","['0xc30', '0xc4b', '0xc17', '0xc2e', '0xc41']",6
51,పులిహోర,బిర్యానీ,"['0xc2a', '0xc41', '0xc32', '0xc3f', '0xc39', '0xc4b', '0xc30']","['0xc2c', '0xc3f', '0xc30', '0xc4d', '0xc2f', '0xc3e', '0xc28', '0xc40']",8
52,అట్టు,ఇడ్లీ,"['0xc05', '0xc1f', '0xc4d', '0xc1f', '0xc41']","['0xc07', '0xc21', '0xc4d', '0xc32', '0xc40']",4
53,పప్పు,చారు,"['0xc2a', '0xc2a', '0xc4d', '0xc2a', '0xc41']","['0xc1a', '0xc3e', '0xc30', '0xc41']",4
54,భోజనము,వంటిల్లు,"['0xc2d', '0xc4b', '0xc1c', '0xc28', '0xc2e', '0xc41']","['0xc35', '0xc02', '0xc1f', '0xc3f', '0xc32', '0xc4d', '0xc32', '0xc41']",7
55,పండుగ,పెళ్ళి,"['0xc2a', '0xc02', '0xc21', '0xc41', '0xc17']","['0xc2a', '0xc46', '0xc33', '0xc4d', '0xc33', '0xc3f']",5
56,సంగీతము,నృత్యము,"['0xc38', '0xc02', '0xc17', '0xc40', '0xc24', '0xc2e', '0xc41']","['0xc28', '0xc43', '0xc24', '0xc4d', '0xc2f', '0xc2e', '0xc41']",5
57,నాటకము,కవిత,"['0xc28', '0xc3e', '0xc1f', '0xc15', '0xc2e', '0xc41']","['0xc15', '0xc35', '0xc3f', '0xc24']",6
58,చలనచిత్రము,నాటకము,"['0xc1a', '0xc32', '0xc28', '0xc1a', '0xc3f', '0xc24', '0xc4d', '0xc30', '0xc2e', '0xc41']","['0xc28', '0xc3e', '0xc1f', '0xc15', '0xc2e', '0xc41']",7
59,వార్తాపత్రిక,రేడియో,"['0xc35', '0xc3e', '0xc30', '0xc4d', '0xc24', '0xc3e', '0xc2a', '0xc24', '0xc4d', '0xc30', '0xc3f', '0xc15']","['0xc30', '0xc47', '0xc21', '0xc3f', '0xc2f', '0xc4b']",11
60,దూరదర్శిని,రేడియో,"['0xc26', '0xc42', '0xc30', '0xc26', '0xc30', '0xc4d', '0xc36', '0xc3f', '0xc28', '0xc3f']","['0xc30', '0xc47', '0xc21', '0xc3f', '0xc2f', '0xc4b']",8
61,కంప్యూటరు,ఇంటర్నెట్,"['0xc15', '0xc02', '0xc2a', '0xc4d', '0xc2f', '0xc42', '0xc1f', '0xc30', '0xc41']","['0xc07', '0xc02', '0xc1f', '0xc30', '0xc4d', '0xc28', '0xc46', '0xc1f', '0xc4d']",7
62,సమాచారము,సందేశము,"['0xc38', '0xc2e', '0xc3e', '0xc1a', '0xc3e', '0xc30', '0xc2e', '0xc41']","['0xc38', '0xc02', '0xc26', '0xc47', '0xc36', '0xc2e', '0xc41']",5
63,విద్యుత్తు,యంత్రము,"['0xc35', '0xc3f', '0xc26', '0xc4d', '0xc2f', '0xc41', '0xc24', '0xc4d', '0xc24', '0xc41']","['0xc2f', '0xc02', '0xc24', '0xc4d', '0xc30', '0xc2e', '0xc41']",7
64,వాహనము,విమానము,"['0xc35', '0xc3e', '0xc39', '0xc28', '0xc2e', '0xc41']","['0xc35', '0xc3f', '0xc2e', '0xc3e', '0xc28', '0xc2e', '0xc41']",3
65,రైలు,ఓడ,"['0xc30', '0xc48', '0xc32', '0xc41']","['0xc13', '0xc21']",4
66,హైదరాబాద్,నిజామాబాద్,"['0xc39', '0xc48', '0xc26', '0xc30', '0xc3e', '0xc2c', '0xc3e', '0xc26', '0xc4d']","['0xc28', '0xc3f', '0xc1c', '0xc3e', '0xc2e', '0xc3e', '0xc2c', '0xc3e', '0xc26', '0xc4d']",5
67,విజయవాడ,విశాఖపట్నం,"['0xc35', '0xc3f', '0xc1c', '0xc2f', '0xc35', '0xc3e', '0xc21']","['0xc35', '0xc3f', '0xc36', '0xc3e', '0xc16', '0xc2a', '0xc1f', '0xc4d', '0xc28', '0xc02']",8
68,గుంటూరు,కర్నూలు,"['0xc17', '0xc41', '0xc02', '0xc1f', '0xc42', '0xc30', '0xc41']","['0xc15', '0xc30', '0xc4d', '0xc28', '0xc42', '0xc32', '0xc41']",5
69,రాజమహేంద్రవరం,శ్రీకాకుళం,"['0xc30', '0xc3e', '0xc1c', '0xc2e', '0xc39', '0xc47', '0xc02', '0xc26', '0xc4d', '0xc30', '0xc35', '0xc30', '0xc02']","['0xc36', '0xc4d', '0xc30', '0xc40', '0xc15', '0xc3e', '0xc15', '0xc41', '0xc33', '0xc02']",12
70,వరంగల్,ఖమ్మం,"['0xc35', '0xc30', '0xc02', '0xc17', '0xc32', '0xc4d']","['0xc16', '0xc2e', '0xc4d', '0xc2e', '0xc02']",6
71,న్యాయము,సత్యము,"['0xc28', '0xc4d', '0xc2f', '0xc3e', '0xc2f', '0xc2e', '0xc41']","['0xc38', '0xc24', '0xc4d', '0xc2f', '0xc2e', '0xc41']",4
72,ప్రేమ,కరుణ,"['0xc2a', '0xc4d', '0xc30', '0xc47', '0xc2e']","['0xc15', '0xc30', '0xc41', '0xc23']",4
73,ధైర్యము,శక్తి,"['0xc27', '0xc48', '0xc30', '0xc4d', '0xc2f', '0xc2e', '0xc41']","['0xc36', '0xc15', '0xc4d', '0xc24', '0xc3f']",6
74,విద్య,బుద్ధి,"['0xc35', '0xc3f', '0xc26', '0xc4d', '0xc2f']","['0xc2c', '0xc41', '0xc26', '0xc4d', '0xc27', '0xc3f']",4
75,సేవ,గుణము,"['0xc38', '0xc47', '0xc35']","['0xc17', '0xc41', '0xc23', '0xc2e', '0xc41']",5
76,జీవశాస్త్రము,అడవులు,"['0xc1c', '0xc40', '0xc35', '0xc36', '0xc3e', '0xc38', '0xc4d', '0xc24', '0xc4d', '0xc30', '0xc2e', '0xc41']","['0xc05', '0xc21', '0xc35', '0xc41', '0xc32', '0xc41']",10
77,ఖగోళశాస్త్రము,ఆకాశము,"['0xc16', '0xc17', '0xc4b', '0xc33', '0xc36', '0xc3e', '0xc38', '0xc4d', '0xc24', '0xc4d', '0xc30', '0xc2e', '0xc41']","['0xc06', '0xc15', '0xc3e', '0xc36', '0xc2e', '0xc41']",10
78,పర్యావరణశాస్త్రము,పర్యావరణము,"['0xc2a', '0xc30', '0xc4d', '0xc2f', '0xc3e', '0xc35', '0xc30', '0xc23', '0xc36', '0xc3e', '0xc38', '0xc4d', '0xc24', '0xc4d', '0xc30', '0xc2e', '0xc41']","['0xc2a', '0xc30', '0xc4d', '0xc2f', '0xc3e', '0xc35', '0xc30', '0xc23', '0xc2e', '0xc41']",7
79,భూగోళశాస్త్రము,నదులు,"['0xc2d', '0xc42', '0xc17', '0xc4b', '0xc33', '0xc36', '0xc3e', '0xc38', '0xc4d', '0xc24', '0xc4d', '0xc30', '0xc2e', '0xc41']","['0xc28', '0xc26', '0xc41', '0xc32', '0xc41']",13
80,రసాయనశాస్త్రము,మందు,"['0xc30', '0xc38', '0xc3e', '0xc2f', '0xc28', '0xc36', '0xc3e', '0xc38', '0xc4d', '0xc24', '0xc4d', '0xc30', '0xc2e', '0xc41']","['0xc2e', '0xc02', '0xc26', '0xc41']",13
81,న్యాయస్థానము,న్యాయము,"['0xc28', '0xc4d', '0xc2f', '0xc3e', '0xc2f', '0xc38', '0xc4d', '0xc25', '0xc3e', '0xc28', '0xc2e', '0xc41']","['0xc28', '0xc4d', '0xc2f', '0xc3e', '0xc2f', '0xc2e', '0xc41']",5
82,రాజ్యాంగము,స్వేచ్ఛ,"['0xc30', '0xc3e', '0xc1c', '0xc4d', '0xc2f', '0xc3e', '0xc02', '0xc17', '0xc2e', '0xc41']","['0xc38', '0xc4d', '0xc35', '0xc47', '0xc1a', '0xc4d', '0xc1b']",9
83,ఎన్నికలు,ప్రజాస్వామ్యము,"['0xc0e', '0xc28', '0xc4d', '0xc28', '0xc3f', '0xc15', '0xc32', '0xc41']","['0xc2a', '0xc4d', '0xc30', '0xc1c', '0xc3e', '0xc38', '0xc4d', '0xc35', '0xc3e', '0xc2e', '0xc4d', '0xc2f', '0xc2e', '0xc41']",12
84,చట్టము,శిక్ష,"['0xc1a', '0xc1f', '0xc4d', '0xc1f', '0xc2e', '0xc41']","['0xc36', '0xc3f', '0xc15', '0xc4d', '0xc37']",6
85,హక్కులు,బాధ్యతలు,"['0xc39', '0xc15', '0xc4d', '0xc15', '0xc41', '0xc32', '0xc41']","['0xc2c', '0xc3e', '0xc27', '0xc4d', '0xc2f', '0xc24', '0xc32', '0xc41']",5
86,వైద్యుడు,ఉపాధ్యాయుడు,"['0xc35', '0xc48', '0xc26', '0xc4d', '0xc2f', '0xc41', '0xc21', '0xc41']","['0xc09', '0xc2a', '0xc3e', '0xc27', '0xc4d', '0xc2f', '0xc3e', '0xc2f', '0xc41', '0xc21', '0xc41']",6
87,ఆసుపత్రి,విద్యాలయము,"['0xc06', '0xc38', '0xc41', '0xc2a', '0xc24', '0xc4d', '0xc30', '0xc3f']","['0xc35', '0xc3f', '0xc26', '0xc4d', '0xc2f', '0xc3e', '0xc32', '0xc2f', '0xc2e', '0xc41']",10
88,రోగము,నొప్పి,"['0xc30', '0xc4b', '0xc17', '0xc2e', '0xc41']","['0xc28', '0xc4a', '0xc2a', '0xc4d', '0xc2a', '0xc3f']",6
89,శస్త్రచికిత్స,పరిశోధనము,"['0xc36', '0xc38', '0xc4d', '0xc24', '0xc4d', '0xc30', '0xc1a', '0xc3f', '0xc15', '0xc3f', '0xc24', '0xc4d', '0xc38']","['0xc2a', '0xc30', '0xc3f', '0xc36', '0xc4b', '0xc27', '0xc28', '0xc2e', '0xc41']",12
90,ఆరోగ్యసేవ,పరిపాలనము,"['0xc06', '0xc30', '0xc4b', '0xc17', '0xc4d', '0xc2f', '0xc38', '0xc47', '0xc35']","['0xc2a', '0xc30', '0xc3f', '0xc2a', '0xc3e', '0xc32', '0xc28', '0xc2e', '0xc41']",8
91,కంప్యూటరు,విశ్వవిద్యాలయము,"['0xc15', '0xc02', '0xc2a', '0xc4d', '0xc2f', '0xc42', '0xc1f', '0xc30', '0xc41']","['0xc35', '0xc3f', '0xc36', '0xc4d', '0xc35', '0xc35', '0xc3f', '0xc26', '0xc4d', '0xc2f', '0xc3e', '0xc32', '0xc2f', '0xc2e', '0xc41']",12
92,సాంకేతికత,సాంకేతికవిద్య,"['0xc38', '0xc3e', '0xc02', '0xc15', '0xc47', '0xc24', '0xc3f', '0xc15', '0xc24']","['0xc38', '0xc3e', '0xc02', '0xc15', '0xc47', '0xc24', '0xc3f', '0xc15', '0xc35', '0xc3f', '0xc26', '0xc4d', '0xc2f']",5
93,ఇంటర్నెట్,గ్రంథాలయము,"['0xc07', '0xc02', '0xc1f', '0xc30', '0xc4d', '0xc28', '0xc46', '0xc1f', '0xc4d']","['0xc17', '0xc4d', '0xc30', '0xc02', '0xc25', '0xc3e', '0xc32', '0xc2f', '0xc2e', '0xc41']",10
94,సమాచారము,జ్ఞానం,"['0xc38', '0xc2e', '0xc3e', '0xc1a', '0xc3e', '0xc30', '0xc2e', '0xc41']","['0xc1c', '0xc4d', '0xc1e', '0xc3e', '0xc28', '0xc02']",7
95,దూరదర్శిని,విద్యాలయము,"['0xc26', '0xc42', '0xc30', '0xc26', '0xc30', '0xc4d', '0xc36', '0xc3f', '0xc28', '0xc3f']","['0xc35', '0xc3f', '0xc26', '0xc4d', '0xc2f', '0xc3e', '0xc32', '0xc2f', '0xc2e', '0xc41']",10
96,హైదరాబాద్,చరిత్రశాస్త్రము,"['0xc39', '0xc48', '0xc26', '0xc30', '0xc3e', '0xc2c', '0xc3e', '0xc26', '0xc4d']","['0xc1a', '0xc30', '0xc3f', '0xc24', '0xc4d', '0xc30', '0xc36', '0xc3e', '0xc38', '0xc4d', '0xc24', '0xc4d', '0xc30', '0xc2e', '0xc41']",12
97,తిరుపతి,సంప్రదాయము,"['0xc24', '0xc3f', '0xc30', '0xc41', '0xc2a', '0xc24', '0xc3f']","['0xc38', '0xc02', '0xc2a', '0xc4d', '0xc30', '0xc26', '0xc3e', '0xc2f', '0xc2e', '0xc41']",9
98,విశాఖపట్నం,సముద్రము,"['0xc35', '0xc3f', '0xc36', '0xc3e', '0xc16', '0xc2a', '0xc1f', '0xc4d', '0xc28', '0xc02']","['0xc38', '0xc2e', '0xc41', '0xc26', '0xc4d', '0xc30', '0xc2e', '0xc41']",10
99,అనంతపురము,పర్యావరణము,"['0xc05', '0xc28', '0xc02', '0xc24', '0xc2a', '0xc41', '0xc30', '0xc2e', '0xc41']","['0xc2a', '0xc30', '0xc4d', '0xc2f', '0xc3e', '0xc35', '0xc30', '0xc23', '0xc2e', '0xc41']",7
100,రాజమహేంద్రవరం,రాజ్యాధికారము,"['0xc30', '0xc3e', '0xc1c', '0xc2e', '0xc39', '0xc47', '0xc02', '0xc26', '0xc4d', '0xc30', '0xc35', '0xc30', '0xc02']","['0xc30', '0xc3e', '0xc1c', '0xc4d', '0xc2f', '0xc3e', '0xc27', '0xc3f', '0xc15', '0xc3e', '0xc30', '0xc2e', '0xc41']",10
